Point,Comment,Inspected,Inspection comment,SiO2(Mass%),TiO2(Mass%),Al2O3(Mass%),Cr2O3(Mass%),FeO(Mass%),MnO(Mass%),NiO(Mass%),MgO(Mass%),CaO(Mass%),Na2O(Mass%),K2O(Mass%),P2O5(Mass%),Total(Mass%),SiO2(Norm%),TiO2(Norm%),Al2O3(Norm%),Cr2O3(Norm%),FeO(Norm%),MnO(Norm%),NiO(Norm%),MgO(Norm%),CaO(Norm%),Na2O(Norm%),K2O(Norm%),P2O5(Norm%),Total(Norm%),SiO2(Cation),TiO2(Cation),Al2O3(Cation),Cr2O3(Cation),FeO(Cation),MnO(Cation),NiO(Cation),MgO(Cation),CaO(Cation),Na2O(Cation),K2O(Cation),P2O5(Cation),Total(Cation),SiO2(mole%),TiO2(mole%),Al2O3(mole%),Cr2O3(mole%),FeO(mole%),MnO(mole%),NiO(mole%),MgO(mole%),CaO(mole%),Na2O(mole%),K2O(mole%),P2O5(mole%),Total(mole%),X,Y,Z,SiO2(K-ratio),TiO2(K-ratio),Al2O3(K-ratio),Cr2O3(K-ratio),FeO(K-ratio),MnO(K-ratio),NiO(K-ratio),MgO(K-ratio),CaO(K-ratio),Na2O(K-ratio),K2O(K-ratio),P2O5(K-ratio),Total(K-ratio),SiO2(K-raw),TiO2(K-raw),Al2O3(K-raw),Cr2O3(K-raw),FeO(K-raw),MnO(K-raw),NiO(K-raw),MgO(K-raw),CaO(K-raw),Na2O(K-raw),K2O(K-raw),P2O5(K-raw),Total(K-raw),Na(Net),Mg(Net),Al(Net),Si(Net),Cr(Net),Ti(Net),Ca(Net),K(Net),P(Net),Ni(Net),Fe(Net),Mn(Net),Na(BG-),Mg(BG-),Al(BG-),Si(BG-),Cr(BG-),Ti(BG-),Ca(BG-),K(BG-),P(BG-),Ni(BG-),Fe(BG-),Mn(BG-),Na(BG+),Mg(BG+),Al(BG+),Si(BG+),Cr(BG+),Ti(BG+),Ca(BG+),K(BG+),P(BG+),Ni(BG+),Fe(BG+),Mn(BG+),Na(L-value),Mg(L-value),Al(L-value),Si(L-value),Cr(L-value),Ti(L-value),Ca(L-value),K(L-value),P(L-value),Ni(L-value),Fe(L-value),Mn(L-value),Current,Na(Error%),Mg(Error%),Al(Error%),Si(Error%),Cr(Error%),Ti(Error%),Ca(Error%),K(Error%),P(Error%),Ni(Error%),Fe(Error%),Mn(Error%),Total(Error%),Na(D.L.),Mg(D.L.),Al(D.L.),Si(D.L.),Cr(D.L.),Ti(D.L.),Ca(D.L.),K(D.L.),P(D.L.),Ni(D.L.),Fe(D.L.),Mn(D.L.), ,,Bi(Net),Ar(Net),Br(Net),As(Net)
1239,Gold2_A7_p2 Grid 005x003,Gold2_McC_ABW_A7_grid2,,50.87,1.0173,4.49,0.0426,4.74,0.088,0.0165,15.17,22.59,0.5079,0.0022,0.0007,99.5352,51.1075,1.0221,4.511,0.0428,4.7621,0.0884,0.0166,15.2408,22.6955,0.5103,0.0022,0.0007,100,7.507,0.1129,0.781,0.005,0.585,0.011,0.002,3.338,3.573,0.1453,0.0004,0.0001,16.0607,48.1435,0.7241,2.5043,0.0159,3.7517,0.0705,0.0126,21.4018,22.9079,0.466,0.0013,0.0003,100,1.4468,26.1925,10.814,47.5254,0.9795,3.8286,0.039,4.6995,0.0802,0.0146,15.4375,22.4343,0.4442,0.0021,0.0005,95.4853,91.483,2.4287,3.829,0.0858,30.877,0.1705,0.0146,57.624,47.032,3.0076,0.0087,0.0015,236.5624,2381.4,120690.6,41414.5,478914.9,878.7,16365.5,468896.6,46.6,1.7,94.9,27127.6,467.6,329.5,605.8,1268.1,0,5769.7,3022.1,2081.9,1333,114.8,2028.6,1396.2,1000.2,267.9,540.9,742.2,1253.1,4896,2669.3,1873.9,1251.5,126.5,1880.5,1214.8,926.9,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,60.09,6.26,0.56,0.79,0.28,27.32,2.03,0.33,248.89,2044.26,129.62,0.78,20.26,2481.38,124,83,64,68,102,101,67,51,110,186,108,146,1210, ,464.3,818.8,534.2,948.6
1240,Gold2_A7_p2 Grid 005x004,Gold2_McC_ABW_A7_grid2,,51.04,1.0045,4.51,0.0412,4.72,0.0965,0.0245,15.21,22.66,0.5273,0.0035,0,99.8375,51.1231,1.0061,4.5173,0.0413,4.7277,0.0967,0.0245,15.2348,22.6969,0.5282,0.0035,0,100,7.509,0.1111,0.782,0.0048,0.581,0.012,0.0029,3.336,3.573,0.1504,0.0007,0,16.0629,48.1574,0.7128,2.5078,0.0154,3.7245,0.0771,0.0186,21.393,22.909,0.4823,0.0021,0,100,1.4609,26.1922,10.814,47.6984,0.9671,3.8476,0.0377,4.6844,0.0879,0.0217,15.4777,22.5049,0.4613,0.0033,0,95.792,91.816,2.398,3.848,0.083,30.778,0.1868,0.0217,57.774,47.18,3.1234,0.014,0,237.2229,2473.3,121005,41616.7,480655,850,16158.3,470370,75,-15,141.7,27040,511.7,315,591.7,1290,0,5868.3,2980,2113.3,1323.3,138.3,1993.3,1386.7,998.3,245,590,766.7,1280,4905,2801.7,1921.7,1223.3,105,1786.7,1185,856.7,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,60,6.09,0.56,0.79,0.28,28.36,2.05,0.33,153.76,300,86.07,0.78,18.39,597.46,120,85,64,69,103,102,68,51,110,183,107,143,1205, ,460,808.3,531.7,961.7
1241,Gold2_A7_p2 Grid 005x005,Gold2_McC_ABW_A7_grid2,,50.88,1.0286,4.51,0.0394,4.75,0.0973,0.0144,15.2,22.63,0.5049,0.0035,0.0018,99.6599,51.0536,1.0321,4.5254,0.0395,4.7662,0.0976,0.0144,15.2519,22.7072,0.5066,0.0035,0.0018,100,7.501,0.1141,0.783,0.0046,0.586,0.0121,0.0017,3.341,3.574,0.1443,0.0007,0.0002,16.0627,48.094,0.7312,2.5124,0.0147,3.755,0.0779,0.0109,21.4179,22.9204,0.4627,0.0021,0.0007,100,1.478,26.1909,10.814,47.5379,0.9905,3.8436,0.036,4.7107,0.0886,0.0128,15.4693,22.4691,0.4416,0.0033,0.0015,95.6049,91.507,2.4559,3.844,0.0793,30.951,0.1884,0.0128,57.743,47.105,2.9896,0.014,0.0041,236.8941,2366.8,120942.1,41576.2,479038,812.3,16547.9,469627.2,74.9,5,83.2,27192.1,516,342.9,604.2,1273.3,0,5850.5,2999.3,1949.1,1336.6,108.2,2019,1339.9,988.7,241.3,589.2,737.3,1296.6,5079.9,2696.4,1949.1,1146.8,114.8,1837.6,1195.1,808.9,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,60.08,6.26,0.56,0.79,0.28,29.79,2.01,0.33,152.02,720.01,145.93,0.78,18.03,1076.79,122,85,64,69,104,101,67,50,106,185,106,141,1200, ,466,822.2,524.3,950.4
1242,dr43 Line 001,dr43 Line 001,,38.91,0.0656,21.78,0.0427,27.44,2.1,0,9.03,1.56,0.0116,0.0009,0.032,100.9728,38.5351,0.065,21.5702,0.0423,27.1756,2.0798,0,8.943,1.545,0.0115,0.0009,0.0317,100,5.97,0.0076,3.939,0.0052,3.521,0.272,0,2.066,0.256,0.0034,0.0002,0.0042,16.0446,42.4329,0.0538,13.9982,0.0184,25.0265,1.9399,0,14.6797,1.8229,0.0123,0.0006,0.0148,100,-15.1858,-16.703,11.597,33.5509,0.0677,18.1152,0.0431,28.0934,1.9747,0,8.3933,1.5812,0.0089,0.0009,0.0254,91.8547,64.583,0.168,18.117,0.0948,184.582,4.198,0,31.33,3.315,0.06,0.0037,0.0708,306.5223,48.2,65619.5,195933.8,338090.8,971.2,1132.6,33051.7,20,79.8,-16.6,162168.6,11506.7,317.6,656.9,1258.9,0,6459.3,3399.3,2010.6,1440.2,118.1,2291.7,1638.1,1174.1,234.5,505.6,873.1,1177.4,5734.2,3068.4,1794.4,1285.6,149.7,2023.9,1543.3,989.5,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,60.13,139.54,0.76,0.36,0.33,26.38,17.2,1.3,603.17,52.42,300,0.31,1.97,1143.74,119,83,66,66,109,108,66,52,116,196,119,154,1254, ,2682.5,2077.2,3036.8,2702.5
1243,dr43 Line 002,dr43 Line 002,,38.88,0.0638,21.78,0.0456,27.39,2.07,0.0082,9.02,1.56,0,0.0019,0.0283,100.8478,38.5532,0.0633,21.5969,0.0452,27.1597,2.0526,0.0081,8.9442,1.5469,0,0.0019,0.0281,100,5.971,0.0074,3.942,0.0055,3.519,0.269,0.001,2.066,0.257,0,0.0004,0.0037,16.042,42.4548,0.0524,14.0162,0.0197,25.0131,1.9146,0.0072,14.6824,1.8252,0,0.0013,0.0131,100,-15.1845,-16.703,11.597,33.5187,0.0658,18.1122,0.046,28.046,1.9479,0.0074,8.3834,1.5879,0,0.0018,0.0225,91.7396,64.521,0.1632,18.114,0.1012,184.271,4.141,0.0074,31.293,3.329,0,0.0077,0.0626,306.0111,-3.3,65541.5,195904.2,337764.1,1036.4,1099.7,33194.1,41.6,71.5,48.2,161894.9,11350.9,337.7,642.2,1234.4,0,6536.4,3398.8,1924.8,1442.4,131.4,2242.6,1597.1,1119.6,229.6,542.3,810.2,1229.4,5563.1,3057.7,1746.8,1272.7,134.8,2041.3,1507.2,983.2,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,60.11,300,0.76,0.36,0.33,24.7,17.66,1.29,285.71,58.08,263.84,0.31,1.98,955.02,120,84,65,67,109,107,65,52,116,195,118,152,1250, ,2666.8,2089.5,3072.7,2671.8
1244,dr43 Line 003,dr43 Line 003,,38.88,0.0583,21.85,0.0518,27.48,2.06,0.0112,9.09,1.56,0,0,0.0425,101.0838,38.4631,0.0577,21.6157,0.0512,27.1854,2.0379,0.0111,8.9925,1.5433,0,0,0.042,100,5.959,0.0067,3.947,0.0063,3.523,0.267,0.0014,2.078,0.256,0,0,0.0055,16.0499,42.354,0.0478,14.0279,0.0223,25.0357,1.9008,0.0098,14.7612,1.8209,0,0,0.0196,100,-15.1832,-16.703,11.597,33.5202,0.0602,18.1672,0.0522,28.1429,1.9371,0.0101,8.4504,1.5832,0,0,0.0338,91.9572,64.524,0.1493,18.169,0.115,184.907,4.118,0.0101,31.543,3.319,0,0,0.0942,306.9486,-28.3,66065.6,196500.2,337783.9,1178.8,1005.7,33085.3,-1.7,106.6,66.6,162454.2,11287,334.7,607.7,1233.8,0,6372,3433.2,2013,1430.2,104.9,2296,1598.4,1185.5,274.7,501.2,829.2,1252.1,5566.1,3118.6,1706.6,1360.3,118.2,1999.7,1430.2,1004,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,60.06,300,0.76,0.36,0.33,21.72,19.31,1.3,300,38.19,194.32,0.31,1.99,878.59,125,81,65,68,108,108,66,53,106,195,116,155,1246, ,2679,2092.9,3075.3,2690.6
1245,dr43 Line 004,dr43 Line 004,,38.96,0.0569,21.93,0.0383,27.43,2.07,0.0106,9.12,1.57,0.0083,0,0.0428,101.2369,38.484,0.0562,21.6621,0.0378,27.0949,2.0447,0.0105,9.0086,1.5508,0.0082,0,0.0423,100,5.96,0.0065,3.954,0.0046,3.509,0.268,0.0013,2.078,0.257,0.0025,0,0.0055,16.0464,42.3717,0.0465,14.0562,0.0165,24.9493,1.9069,0.0093,14.7857,1.8296,0.0088,0,0.0197,100,-15.1819,-16.703,11.597,33.5924,0.0587,18.2412,0.0386,28.0858,1.9517,0.0096,8.4745,1.5908,0.0063,0,0.034,92.0835,64.663,0.1455,18.243,0.0849,184.532,4.149,0.0096,31.633,3.335,0.043,0,0.0947,306.9327,33.3,66255,197301.7,338508.3,870,980,33250,-23.3,106.7,61.7,162125,11375,295,638.3,1260,0,6583.3,3471.7,1980,1470,126.7,2311.7,1673.3,1208.3,203.3,528.3,861.7,1201.7,5661.7,3098.3,1716.7,1341.7,105,2011.7,1471.7,1013.3,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,60,183.03,0.76,0.36,0.33,29.45,19.82,1.29,300,38.27,206.48,0.31,1.99,782.09,113,84,66,67,110,108,65,53,107,196,119,157,1245, ,2668.3,2088.3,3065,2708.3
1246,dr43 Line 005,dr43 Line 005,,38.91,0.0626,21.81,0.0468,27.49,2.09,0.0184,9.03,1.58,0.0045,0.0014,0.0382,101.0819,38.4935,0.0619,21.5766,0.0463,27.1958,2.0676,0.0182,8.9334,1.5631,0.0045,0.0014,0.0378,100,5.966,0.0072,3.942,0.0057,3.525,0.271,0.0023,2.063,0.259,0.0013,0.0003,0.005,16.0478,42.3947,0.0513,14.0048,0.0202,25.0496,1.9289,0.0161,14.6665,1.8446,0.0048,0.001,0.0176,100,-15.1806,-16.703,11.597,33.5488,0.0646,18.1392,0.0472,28.1517,1.9658,0.0166,8.3845,1.6008,0.0034,0.0013,0.0303,91.9542,64.579,0.1603,18.141,0.1039,184.965,4.179,0.0166,31.297,3.356,0.0233,0.0055,0.0845,306.9111,18.3,65552,196194.8,338068.3,1064.1,1080.8,33460.4,30,94.9,108.2,162504.6,11455.5,308.1,637.8,1210.7,0,6474.6,3420.5,1926.7,1470.4,118.2,2233.1,1615.3,1180.7,248.1,561.2,839.3,1205.7,5557,3115.7,1688.6,1277.3,116.6,1978.3,1465.4,964.2,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,60.05,353.69,0.76,0.36,0.33,24.03,18.06,1.29,400.4,42.58,117.96,0.31,1.97,961.74,120,85,65,67,109,108,65,52,109,193,117,154,1244, ,2647.8,2074.9,3030.8,2666.1
1247,Gold1_A6_p2 Grid 001x001,Gold1_McC_ABW_A6_grid2,,48.35,1.5839,5.64,0.0001,6.84,0.1004,0.0145,13.05,22.79,0.6303,0.0033,0.0123,99.0148,48.8311,1.5997,5.6961,0.0001,6.9081,0.1014,0.0146,13.1798,23.0168,0.6366,0.0033,0.0124,100,7.281,0.1794,1,0,0.861,0.0128,0.0018,2.929,3.678,0.1841,0.0006,0.0016,16.1293,46.8626,1.1546,3.2217,0,5.5445,0.0824,0.0113,18.8552,23.6684,0.5923,0.002,0.005,100,-2.6758,26.6815,10.811,45.0334,1.532,4.8145,0.0001,6.8046,0.0918,0.0129,13.0561,22.741,0.5394,0.0032,0.01,94.6389,86.686,3.7987,4.815,0.0002,44.708,0.1951,0.0129,48.735,47.675,3.6521,0.0133,0.0278,240.3191,2892.4,102074.3,52071,453798.8,1.7,25596.5,475308.2,70,31.7,83.3,39278.6,534.8,296.6,611.5,1267.9,0,5889.7,3207.3,2099.3,1359.6,100,2087.6,1411.2,999.7,234.9,516.5,793.1,1271.2,5208.3,2839.1,1991,1297.9,91.6,1776.1,1257.9,904.7,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,60.02,5.53,0.61,0.71,0.29,14192.03,1.55,0.33,165.55,106.22,145.24,0.64,17.88,14636.58,117,82,65,68,104,104,69,52,98,185,109,145,1198, ,596.5,1041.3,691.4,1286.2
1248,Gold1_A6_p2 Grid 001x002,Gold1_McC_ABW_A6_grid2,,48.11,1.5868,5.65,0,6.86,0.0932,0.0072,12.99,22.76,0.6299,0.0044,0.0051,98.6966,48.7453,1.6078,5.7246,0,6.9506,0.0944,0.0073,13.1615,23.0606,0.6382,0.0045,0.0052,100,7.27,0.1804,1.007,0,0.867,0.0119,0.0009,2.927,3.686,0.1846,0.0008,0.0007,16.1363,46.7894,1.1606,3.2384,0,5.5797,0.0768,0.0056,18.8326,23.718,0.5939,0.0027,0.0021,100,-2.6758,26.6915,10.811,44.7908,1.5348,4.8305,0,6.8224,0.0851,0.0064,13.0004,22.7109,0.5389,0.0042,0.0041,94.3286,86.219,3.8057,4.831,0,44.825,0.181,0.0064,48.527,47.612,3.6485,0.0178,0.0115,239.6849,2888.3,101638.1,52245.7,451353.4,-104.9,25643.4,474682.8,94.9,13.3,41.6,39382.4,496.1,331.3,604.3,1256.9,0,5959.7,3021.5,2077.6,1360.1,124.8,2102.6,1393.4,1023.8,241.4,561,775.8,1250.2,5179,2821.7,1891.1,1198.6,108.2,1909.4,1250.2,945.6,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,60.07,5.56,0.61,0.7,0.29,300,1.55,0.33,121.99,268.55,295.96,0.64,19.37,1015.55,121,84,64,68,105,102,68,51,108,189,109,147,1216, ,592.6,1043.8,694.2,1276.8
1249,Gold1_A6_p2 Grid 001x003,Gold1_McC_ABW_A6_grid2,,48.08,1.5766,5.65,0.0086,6.85,0.1072,0.0092,13,22.81,0.639,0.0059,0.001,98.7375,48.6948,1.5968,5.7222,0.0087,6.9376,0.1086,0.0093,13.1662,23.1017,0.6472,0.006,0.001,100,7.266,0.1792,1.006,0.001,0.866,0.0137,0.0011,2.929,3.694,0.1872,0.0011,0.0001,16.1444,46.7387,1.1526,3.2369,0.0033,5.569,0.0883,0.0072,18.8384,23.7592,0.6022,0.0037,0.0004,100,-2.6758,26.7015,10.811,44.77,1.525,4.8225,0.0079,6.8183,0.098,0.0082,13.0071,22.7624,0.5465,0.0057,0.0008,94.3724,86.179,3.7813,4.823,0.0174,44.798,0.2083,0.0082,48.552,47.72,3.7004,0.0239,0.0022,239.8137,2929.7,101692.2,52161.9,451142.6,178.2,25479.7,475754.5,126.6,1.7,53.3,39358.8,571.3,339.8,604.6,1270.8,0,5769.5,3147.9,2030.3,1357.4,123.3,2095.3,1380.8,1042.6,278.1,544.6,752.8,1280.8,5013.3,2878.1,1957,1222.5,118.3,1888.7,1240.8,862.8,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,60.04,5.56,0.61,0.7,0.29,131.23,1.56,0.33,91.48,1410.87,232.5,0.64,16.87,1892.64,126,83,64,69,103,104,68,51,110,188,108,145,1219, ,609.6,1052.6,687.9,1260.8
1250,Gold1_A6_p2 Grid 001x004,Gold1_McC_ABW_A6_grid2,,48.21,1.5623,5.67,0.0049,6.87,0.117,0.0006,13,22.88,0.6241,0.0055,0.004,98.9484,48.7224,1.5789,5.7303,0.005,6.943,0.1182,0.0006,13.1382,23.1232,0.6307,0.0056,0.004,100,7.27,0.1772,1.007,0.0006,0.866,0.0149,0.0001,2.923,3.696,0.1825,0.0011,0.0005,16.1389,46.7699,1.1399,3.2418,0.0019,5.5739,0.0961,0.0005,18.8002,23.7837,0.587,0.0034,0.0016,100,-2.6758,26.7115,10.811,44.9004,1.5112,4.8425,0.0045,6.8341,0.1069,0.0005,13.0111,22.8273,0.5339,0.0053,0.0033,94.581,86.43,3.747,4.843,0.01,44.902,0.2273,0.0005,48.567,47.856,3.6144,0.0223,0.0091,240.2286,2861.7,101721.7,52376.7,452458.3,101.7,25248.3,477110,118.3,10,3.3,39450,623.3,353.3,610,1313.3,0,5906.7,3113.3,2105,1415,138.3,2121.7,1416.7,1031.7,221.7,578.3,773.3,1276.7,5036.7,2813.3,1911.7,1191.7,106.7,1850,1273.3,826.7,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,60,5.59,0.61,0.7,0.29,229.77,1.56,0.33,98.61,344.19,3662.54,0.64,15.48,4360.31,120,85,65,69,104,103,68,51,110,188,110,143,1216, ,610,1046.7,710,1265
1251,Gold1_A6_p2 Grid 001x005,Gold1_McC_ABW_A6_grid2,,48.08,1.5863,5.64,0.0018,6.86,0.0998,0.0086,13.04,22.81,0.6266,0.0056,0.0091,98.7678,48.6798,1.6061,5.7104,0.0018,6.9456,0.101,0.0087,13.2027,23.0946,0.6344,0.0057,0.0092,100,7.264,0.1802,1.004,0.0002,0.867,0.0128,0.001,2.937,3.693,0.1836,0.0011,0.0012,16.1451,46.7155,1.1591,3.2296,0.0007,5.5744,0.0821,0.0067,18.887,23.7474,0.5903,0.0035,0.0037,100,-2.6758,26.7215,10.811,44.7612,1.5344,4.8125,0.0016,6.8289,0.0912,0.0076,13.0454,22.7629,0.536,0.0054,0.0074,94.3946,86.162,3.8047,4.813,0.0036,44.868,0.1939,0.0076,48.695,47.721,3.6289,0.0226,0.0206,239.9409,2874,101989.7,52057.9,451055.5,36.6,25636.6,475764.7,119.7,23.3,49.9,39419.9,531.9,314.2,608.4,1283.2,0,5939.2,3141.6,2056.2,1344.8,104.7,2041.2,1471.1,1033.9,229.4,558.5,776.3,1281.6,5154.6,2762.6,1941.5,1196.8,104.7,1941.5,1258.3,955.8,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,60.16,5.55,0.61,0.7,0.29,634.37,1.55,0.33,95.82,146.31,250.32,0.64,18.26,1154.75,118,84,64,69,104,103,68,50,102,188,110,148,1208, ,588.4,1043.9,696.5,1271.6
1252,Gold1_A6_p2 Grid 002x001,Gold1_McC_ABW_A6_grid2,,48.11,1.5813,5.67,0.0054,6.81,0.1119,0.0071,12.99,22.73,0.631,0.0059,0,98.6526,48.7671,1.6029,5.7474,0.0055,6.903,0.1134,0.0072,13.1674,23.0404,0.6396,0.006,0,100,7.273,0.1798,1.011,0.0006,0.861,0.0143,0.0009,2.927,3.681,0.185,0.0011,0,16.1347,46.8115,1.1571,3.2514,0.0021,5.5417,0.0922,0.0056,18.8415,23.698,0.5952,0.0037,0,100,-2.6658,26.6815,10.811,44.7913,1.5296,4.8465,0.0049,6.7761,0.1023,0.0063,12.9961,22.6718,0.5399,0.0057,0,94.2705,86.22,3.7926,4.847,0.0109,44.521,0.2174,0.0063,48.511,47.53,3.6556,0.0238,0,239.3356,2895.1,101603.6,52422,451359.6,111.2,25556.1,473857.9,126.2,-5,41.5,39115.2,596,323.7,596,1260,0,5776.9,3024.6,2101.6,1346.3,124.5,2050.1,1397.7,1006,227.4,546.2,766.9,1256.6,4985.1,2846.9,1980.4,1245,114.5,1869.2,1248.3,853.3,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,60.24,5.53,0.61,0.7,0.29,209.09,1.55,0.33,92.21,300,295.91,0.64,16.07,922.93,118,83,64,68,103,102,68,51,109,186,109,143,1204, ,600.9,1030.9,698.9,1268.3
1253,Gold1_A6_p2 Grid 002x002,Gold1_McC_ABW_A6_grid2,,48.06,1.5631,5.64,0.0036,6.81,0.1097,0.015,12.97,22.8,0.6291,0.003,0.0047,98.6082,48.7383,1.5852,5.7196,0.0037,6.9061,0.1112,0.0152,13.1531,23.1218,0.638,0.003,0.0048,100,7.271,0.1778,1.006,0.0004,0.861,0.0141,0.0018,2.925,3.696,0.1846,0.0006,0.0006,16.1389,46.7784,1.1442,3.2353,0.0014,5.5435,0.0904,0.0117,18.8188,23.7788,0.5937,0.0019,0.0019,100,-2.6658,26.6915,10.811,44.7528,1.5118,4.8195,0.0034,6.7734,0.1002,0.0133,12.9782,22.7477,0.5383,0.0029,0.0038,94.2452,86.146,3.7486,4.82,0.0074,44.503,0.2131,0.0133,48.444,47.689,3.6442,0.0123,0.0105,239.2514,2885.1,101464.1,52127.3,450973.3,76.3,25259.5,475445.2,64.7,11.6,86.2,39099.6,583.7,331.6,640,1308.2,0,5954.2,3084.1,2090.9,1363,116.1,1996.3,1445.9,958.4,245.4,570.4,761.1,1251.9,4831.7,2750.8,1928.4,1238.6,111.1,1913.4,1251.9,877.1,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,60.31,5.56,0.61,0.7,0.29,304.61,1.56,0.32,176.59,290.56,140.9,0.64,16.26,938.6,121,85,64,68,103,102,68,51,106,186,109,142,1205, ,593.6,1052.9,698.1,1271.8
1254,Gold1_A6_p2 Grid 002x003,Gold1_McC_ABW_A6_grid2,,48.1,1.5546,5.63,0.0023,6.84,0.0998,0,12.94,22.74,0.6364,0.0038,0.0051,98.552,48.8067,1.5774,5.7127,0.0023,6.9405,0.1013,0,13.1301,23.0741,0.6458,0.0039,0.0052,100,7.279,0.1769,1.005,0.0003,0.865,0.0128,0,2.92,3.687,0.1868,0.0007,0.0007,16.1342,46.849,1.1388,3.2317,0.0009,5.5717,0.0823,0,18.7879,23.7323,0.6009,0.0024,0.0021,100,-2.6658,26.7015,10.811,44.7877,1.5036,4.8125,0.0021,6.8021,0.0912,0,12.9492,22.6866,0.5445,0.0037,0.0042,94.1873,86.213,3.7283,4.813,0.0046,44.692,0.1938,0,48.336,47.561,3.6867,0.0154,0.0116,239.2554,2919,101238,52052.8,451322.6,46.5,25122.8,474168.6,81.3,13.3,0,39264.9,531,320.3,609,1257.9,0,6065.4,3149.7,2081,1392.3,101.2,2081,1402.3,1043.8,260.5,565.9,753.4,1257.9,5003.3,2836,1873.6,1271.2,117.8,1908.4,1271.2,922.7,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,60.26,5.53,0.61,0.7,0.29,500.17,1.57,0.33,142.8,261.15,300,0.64,18.18,1231.97,122,84,64,68,104,103,67,52,105,188,109,147,1213, ,597.4,1058.8,692,1264.5
1255,Gold1_A6_p2 Grid 002x004,Gold1_McC_ABW_A6_grid2,,48.2,1.5688,5.64,0.0009,6.84,0.1097,0.0151,13.01,22.83,0.6379,0.0037,0.0038,98.8599,48.7559,1.5869,5.705,0.0009,6.9189,0.111,0.0153,13.16,23.0933,0.6453,0.0037,0.0038,100,7.273,0.178,1.004,0.0001,0.863,0.014,0.0018,2.926,3.691,0.1866,0.0007,0.0005,16.1387,46.7923,1.1454,3.2268,0.0003,5.5534,0.0902,0.0118,18.8275,23.748,0.6004,0.0023,0.0016,100,-2.6658,26.7115,10.811,44.8864,1.5174,4.8215,0.0008,6.8064,0.1002,0.0134,13.0154,22.7758,0.5457,0.0036,0.003,94.4896,86.403,3.7625,4.822,0.0018,44.72,0.2131,0.0134,48.583,47.748,3.6948,0.0149,0.0085,239.985,2925.4,101755,52155.1,452317.8,18.3,25352.8,476031.9,79.7,10,88,39289.4,584.4,293.9,566.2,1270.1,0,5885.8,3084.8,2125.2,1353.2,106.3,2067.1,1426.2,997.8,210.9,617.6,732.2,1261.8,5022.4,2802.6,1937.6,1236.9,114.6,1842.9,1251.9,904.9,129.703,107.749,90.903,77.734,73.289,87.995,107.5,119.735,196.93,115.653,135,146.53,60.23,5.46,0.61,0.7,0.29,1239.7,1.56,0.32,145.71,353.62,140.15,0.64,16.5,1905.26,113,85,63,68,103,102,68,51,105,186,109,145,1198, ,592.7,1049.3,679.1,1255.2
